# cryptogram-content curation: Author|Quote
# one quote per line, max 100 chars, fictional characters as 'Character (Source)'
Dalai Lama|Happiness mainly comes from our own attitude, rather than from external factors.
Dalai Lama|See the positive side, the potential, and make an effort.
Dale Carnegie|When fate hands us a lemon, lets try to make lemonade.
Darth Vader (Star Wars. The Empire Strikes Back)|No, I am your father.
Dave Weinbaum|The secret to a rich life is to have more beginnings than endings.
David Bader|Be here now. Be someplace else later. Is that so complicated?
David McCullough|Real success is finding your lifework in the work that you love.
Dee (Always Sunny in Philadelphia)|You think I wouldn't know if the guy I'm dating is retarded?
Dennis (Always Sunny in Philadelphia)|Hello fellow American. This you should vote me. I leave power. Good. Thank you, thank you.
Dennis (Always Sunny in Philadelphia)|If you're in my room, you're always being filmed.
Dio Brando (JoJo's Bizarre Adventure: Stardust Crusaders)|Oh? You're approaching me?
Doakes (Dexter)|Suprise, motherfucker!!
Dolores Abernathy (Westworld)|These violent delights have violent ends.
Don Corleone (The Godfather)|I'm gonna make him an offer he can't refuse.
Donald Kircher|A man of ability and the desire to accomplish something can do anything.
Donald Trump|Everything in life is luck.
Donald Trump|You have to think anyway, so why not think big?
Doris Day|Gratitude is riches. Complaint is poverty.
Doris Mortman|Until you make peace with who you are, you'll never be content with what you have.
Doug Horton|Be your own hero, it's cheaper than a movie ticket.
Dr. Charles Emmerson-Winchester III (M*A*S*H)|I do one thing at a time, I do it very well. And then, I move on.
Dr. Robert Ford (Westworld)|You can't play God without being acquainted with the devil.
Dr. Seuss|Don't cry because it's over. Smile because it happened.
Dr. Sidney Friedman (M*A*S*H)|Ladies and Gentlemen take my advice, pull do your pants and slide on the ice.
Eckhart Tolle|It is not uncommon for people to spend their whole life waiting to start living.
Eden (The Handmaids Tale)|Love is patient love is kind.
Eden Phillpotts|The universe is full of magical things, patiently waiting for our wits to grow sharper.
Edmond Rostand|A man is not old as long as he is seeking something.
Edward Young|On every thorn, delightful wisdom grows, In every rill a sweet instruction flows.
Elbert Hubbard|The final proof of greatness lies in being able to endure criticism without resentment.
Elbert Hubbard|There is no failure except in no longer trying.
Eleanor Roosevelt|Do one thing every day that scares you.
Eleanor Roosevelt|It is not fair to ask of others what you are unwilling to do yourself.
Eleanor Roosevelt|You must do the things you think you cannot do.
Elizabeth Arden|I'm not interested in age. People who tell me their age are silly. You're as old as you feel.
Elizabeth Browning|Light tomorrow with today!
Elizabeth Browning|Love doesn't make the world go round, love is what makes the ride worthwhile.
Elizabeth Browning|Whoso loves, believes the impossible.
Elizabeth Kenny|He who angers you conquers you.
Ella Fitzgerald|It isn't where you come from, it's where you're going that counts.
Ella Wilcox|The truest greatness lies in being kind, the truest wisdom in a happy mind.
Ellen Gilchrist|Don't ruin the present with the ruined past.
Ellis Boyd Redding (The Shawshank Redemption)|I Have To Remind Myself That Some Birds Aren't Meant To Be Caged.
Ellis Boyd Redding (The Shawshank Redemption)|There's Not A Day Goes By I Don't Feel Regret.
Epictetus|Difficulties are things that show a person what they are.
Epictetus|Freedom is the right to live as we wish.
Epictetus|If you wish to be a writer, write.
Epictetus|It's not what happens to you, but how you react to it that matters.
Epictetus|Know, first, who you are, and then adorn yourself accordingly.
Epictetus|No man is free who is not master of himself.
Erich Segal (Love Story (1970))|Love means never having to say you're sorry.
Ernest Hemingway|Never mistake motion for action.
Euripides|The wisest men follow their own direction.
F. Scott Fitzgerald (The Great Gatsby)|So we beat on, boats against the current, borne back ceaselessly into the past.
Finch (Person Of Interest)|Intentions can be a fickle business.
Finch (Person Of Interest)|Pain tethers me to the world.
Five (The Umbrella Academy)|We Didn't Choose This Life, We're Just Living In It.
Forrest Gump|My mama always said: life's like a box of chocolate - you never know what you gonna get.
Frances de Sales|Nothing is so strong as gentleness. Nothing is so gentle as real strength.
Francis Bacon|A prudent question is one half of wisdom.
Francoise de Motteville|The true way to render ourselves happy is to love our work and find in it our pleasure.
Frank (Always Sunny in Philadelphia)|I'm not gonna be buried in a grave. When I'm dead, just throw me in the trash.
Frank (Always Sunny in Philadelphia)|You gotta pay the troll toll, if you wanna get into that boy's soul.
Frank Murphy (F is for Family)|Oh ho, you're lucky a priest is taking me into the woods!
Frank Tyger|Your future depends on many things, but mostly on you.
Franklin Roosevelt|When you come to the end of your rope, tie a knot and hang on.
Friedrich von Schiller|Keep true to the dreams of thy youth.
Gail Sheehy|To be tested is good. The challenged life may be the best therapist.
Galileo Galilei|All truths are easy to understand once they are discovered; the point is to discover them.
General Douglas MacArthur|It is fatal to enter any war without the will to win it.
George Eliot|What do we live for, if it is not to make life less difficult for each other?
George Matthew Adams|Each day can be one of triumph if you keep up your interests.
George Orwell|Myths which are believed in tend to become true.
George Patton|If a man does his best, what else is there?
George Santayan|Those who cannot learn from history are doomed to repeat it.
George Shaw|My reputation grows with every failure.
German proverb|Silence is a fence around wisdom.
Gi-hun (Squid Game)|I don't trust people. Especially the ones who ended up here.
Gloria Steinem|If the shoe doesn't fit, must we change the foot?
Goethe|A man sees in the world what he carries in his heart.
Goethe|What is not started today is never finished tomorrow.
Gordon Hinckley|Our kindness may be the most persuasive argument for that which we believe.
Grimlock (Transformers)|Me, Grimlock, want to munch metal!
H. Jackson Browne|Don't be afraid to go out on a limb. That's where the fruit is.
H.I. McDonnough (Raising Arizona)|Aw, it ain't armed robbery if the gun ain't loaded.
H.I. McDonnough (Raising Arizona)|I'll be taking these Huggies and-uh-whatever cash ya got.
Haddon Robinson|What worries you masters you.
Han Solo (Star Wars)|May the Force be with you.
Harold Finch (Person Of Interest)|If you really need a mystery, I recommend the human heart.
Harold Nicolson|We are all inclined to judge ourselves by our ideals; others, by their acts.
Harriet Beecher Stowe|All serious daring starts from within.
Harry Kemp|The poor man is not he who is without a cent, but he who is without a dream.
Harvey Dent (The Dark Knight)|You either die a hero or live long enough to see yourself become the villian.
Haynes Bayly|Absence makes the heart grow fonder.
Helen Keller|Keep yourself to the sunshine and you cannot see the shadow.
Henri Amiel|Almost everything comes from nothing.
Henri Bergson|The eye sees only what the mind is prepared to comprehend.
Henri L. Bergson|Think like a man of action; act like a man of thought.
Henri-Frederic Amiel|So long as a person is capable of self-renewal they are a living being.
Henri-Frederic Amiel|Work while you have the light. You are responsible for the talent that has been entrusted to you.
Henry Beecher|Gratitude is the fairest blossom which springs from the soul.
Henry Ford|Quality means doing it right when no one is looking.
Henry J. Kaiser|Trouble is only opportunity in work clothes.
Henry Thoreau|The world is but a canvas to the imagination.
Henry Thoreau|Things do not change, we change.
Henry Thoreau|Things do not change; we change.
Henry Ward Beecher|Every artist dips his brush in his own soul, and paints his own nature into his pictures.
Heraclitus|All is flux; nothing stays still.
Hermann Hesse|If I know what love is, it is because of you.
Holly (Red Dwarf)|They're all dead. Everybody's dead, Dave.
Homer (The Simpsons)|Bart, I don't want to alarm you, but there may be a boogie man or boogie men in the house!
Homer (The Simpsons)|Don't blame me, I voted for Kodos.
Homer (The Simpsons)|I know you can read my thoughts, boy: meow, meow, meow, meow, meow.
Homer (The Simpsons)|I'm normally not a praying man, but if you're up there, please save me, Superman.
Homer (The Simpsons)|Must kill Moe, weee! Must kill Moe, weee!
Homer (The Simpsons)|To alcohol! The cause of, and solution to, all of life's problems!
Homer (The Simpsons)|Well, he's got all the money in the world, but there's one thing he can't buy: a dinosaur.
Homer (The Simpsons)|You don't win friends with salad.
Homer (The Simpsons)|Your potato? You can't, like, own a potato, man. It's one of Mother Earth's creatures.
Honore de Balzac|When you doubt your power, you give power to your doubt.
Horace|Begin, be bold, and venture to be wise.
Horace Friess|All seasons are beautiful for the person who carries happiness within.
